Group,Gene,Context,MethylationChange,Evidence
"Stress, aging & neuropsychiatric traits",OXTR,Oxytocin receptor; social behavior,Hypermethylation associated with reduced expression and social impairment,"Gregory et al., BMC Med, 2009"
"Stress, aging & neuropsychiatric traits",ELOVL2,Fatty acid elongase gene; canonical epigenetic clock CpG,Age-associated hypermethylation (cg16867657) used in epigenetic age models,"Garagnani et al., Aging Cell, 2012; Horvath, Genome Biol, 2013"
"Stress, aging & neuropsychiatric traits",BDNF,Neurotrophic factor,Promoter hypermethylation associated with depression and suicidality,"Fuchikami et al., PLoS ONE, 2011"
"Stress, aging & neuropsychiatric traits",BDNF,Neuroplasticity,"Differential methylation in depression, PTSD ","Keller et al., *Epigenomics*, 2017"
"Stress, aging & neuropsychiatric traits",SLC6A4,Serotonin transporter  ,Stress- and trauma-related methylation variation ,"Palma-Gudiel et al., *Neurosci Biobehav Rev*, 2015"
"Stress, aging & neuropsychiatric traits",ELOVL2,Aging clock marker,Hypermethylation increases with age** → robust biological age predictor,"Garagnani et al., *Aging Cell*, 2012 "
"Stress, aging & neuropsychiatric traits",FHL2,DNAm aging markers (Horvath clock components),Site-specific hypermethylation correlates with chronological age and disease risk,"Horvath, *Genome Biol*, 2013                       | "
"Stress, aging & neuropsychiatric traits",KLF14,DNAm aging markers (Horvath clock components),Site-specific hypermethylation correlates with chronological age and disease risk,"Horvath, *Genome Biol*, 2013                       | "
"Stress, aging & neuropsychiatric traits",TRIM59,DNAm aging markers (Horvath clock components),Site-specific hypermethylation correlates with chronological age and disease risk,"Horvath, *Genome Biol*, 2013                       | "
Cancer risk & epimutations detectable in blood,BRCA1,Breast / ovarian    ,Rare **constitutional promoter hypermethylation** in leukocytes → elevated risk,"Dobrovic & Wong, *Nat Genet*, 1999; Evans et al., *J Med Genet*, 2018"
Cancer risk & epimutations detectable in blood,ESR1,Breast / ovarian    ,Hypermethylation linked to hormone receptor loss,"Ottaviano et al., Cancer Res, 1994"
Cancer risk & epimutations detectable in blood,MLH1,Colorectal / glioma   ,Germline-like promoter methylation in blood sometimes precedes cancer,"Hitchins et al., *Gastroenterology*, 2011 "
Cancer risk & epimutations detectable in blood,MGMT,Colorectal / glioma   ,Hypermethylated** in cfDNA and leukocytes in CRC ,"Hitchins et al., *Gastroenterology*, 2011 "
Cancer risk & epimutations detectable in blood,SEPT9,Colorectal (FDA-approved plasma marker),Hypermethylated** in cfDNA and leukocytes in CRC ,"Lofton-Day et al., *Clin Chem*, 2008   "
Cancer risk & epimutations detectable in blood,RASSF1A,Multiple cancers , Blood promoter methylation correlates with tumor presence / risk ,"Shivapurkar et al., *Cancer Res*, 2006 "
Cancer risk & epimutations detectable in blood,CDKN2A,Multiple cancers , Blood promoter methylation correlates with tumor presence / risk ,"Shivapurkar et al., *Cancer Res*, 2006 "
Environmental & toxic exposures,ALDH2,Alcohol use   ,Promoter methylation changes reflect chronic intake,"Zhang et al., *Epigenomics*, 2013  "
Environmental & toxic exposures,ADH1B,Alcohol use   ,Promoter methylation changes reflect chronic intake,"Zhang et al., *Epigenomics*, 2013  "
Environmental & toxic exposures,GSTP1,Oxidative stress / xenobiotic response,Differential methylation with heavy-metal exposure,"Pavanello et al., *Environ Res*, 2018  "
Environmental & toxic exposures,GSTM1,Oxidative stress / xenobiotic response,Differential methylation with heavy-metal exposure,"Pavanello et al., *Environ Res*, 2018  "
Environmental & toxic exposures,METTL7B,Air pollution (PM2.5)  ,Altered blood methylation   ,"Plusquin et al., *Environ Health Perspect*, 2022"
Environmental & toxic exposures,LCE3D,Air pollution (PM2.5)  ,Altered blood methylation   ,"Plusquin et al., *Environ Health Perspect*, 2022"
Cancer risk & epimutations detectable in blood,SEPT9,Cytoskeletal GTPase; CRC blood test (Epi proColon),Hypermethylation in CRC cfDNA,"Song et al., Clin Chem, 2016"
Cancer risk & epimutations detectable in blood,SHOX2,Developmental homeobox; lung cancer marker,Hypermethylation in tumor DNA and plasma,"Kneip et al., J Thorac Oncol, 2011"
Cancer risk & epimutations detectable in blood,APC,Wnt pathway tumor suppressor,Promoter hypermethylation early in colorectal carcinogenesis,"Liang et al., Oncotarget, 2017"
Cancer risk & epimutations detectable in blood,RASSF1A,Tumor suppressor; broad solid tumors; also fetal fraction QC in NIPT,Promoter hypermethylation detectable in plasma/serum,"Lo et al., Nat Med, 1999; Dammann et al., Nat Genet, 2000"
Cancer risk & epimutations detectable in blood,GSTP1,Glutathione S-transferase; hallmark prostate cancer marker,Promoter hypermethylation in prostate cancer,"Kron et al., NEJM, 1998; Jerónimo et al., Cancer Epidemiol Biomarkers Prev, 2001"
Cancer risk & epimutations detectable in blood,PITX2,Homeobox TF; prognostic in breast/prostate,Promoter hypermethylation predicts outcome,"Hartmann et al., Clin Cancer Res, 2009"
Cancer risk & epimutations detectable in blood,HOXA9,Homeobox gene; ovarian/lung cancer biomarker,Promoter hypermethylation in tumor and cfDNA,"Bose et al., PLoS ONE, 2012"
Cancer risk & epimutations detectable in blood,MGMT,DNA repair enzyme; glioma/GBM therapy response,Promoter hypermethylation predicts temozolomide response,"Hegi et al., NEJM, 2005"
Cancer risk & epimutations detectable in blood,CDKN2A (p16),Cell cycle inhibitor; pan-cancer epimutation,Promoter hypermethylation across many tumors,"Esteller et al., Cancer Res, 2000"
Cancer risk & epimutations detectable in blood,SFRP2,Wnt antagonist; colorectal cancer marker,Promoter hypermethylation in CRC tissue and cfDNA,"Wang et al., Clin Cancer Res, 2004"
Developmental origins & imprinting effects,IGF2,Imprinted growth regulator,Persistent hypomethylation after prenatal famine exposure,"Heijmans et al., PNAS, 2008"
Developmental origins & imprinting effects,H19,Imprinted lncRNA; growth regulation,Differential methylation associated with imprinting disorders and growth phenotypes,"Tost, Methods Mol Biol, 2009"
Cancer risk & epimutations detectable in blood,RARB,"Retinoic acid receptor; frequently hypermethylated across lung, breast, cervical cancers","Retinoic acid receptor; frequently hypermethylated across lung, breast, cervical cancers","Shivapurkar et al., Cancer Res, 2002"
Cancer risk & epimutations detectable in blood,DAPK1,Apoptosis regulator; hypermethylated in multiple carcinomas,Apoptosis regulator; hypermethylated in multiple carcinomas,"Raveh et al., Cell Death Differ, 2001"
Cancer risk & epimutations detectable in blood,TIMP3,"Matrix metalloproteinase inhibitor; hypermethylated in lung, liver, colon, and breast cancer","Matrix metalloproteinase inhibitor; hypermethylated in lung, liver, colon, and breast cancer","Bachman et al., Cancer Res, 1999"
Cancer risk & epimutations detectable in blood,SOCS1,JAK/STAT signaling regulators; hypermethylated in HCC and colon cancer,JAK/STAT signaling regulators; hypermethylated in HCC and colon cancer,"Niwa et al., Oncogene, 2005"
Cancer risk & epimutations detectable in blood,RASSF5,"Related to RASSF1A, hypermethylated in lung and gastric cancers","Related to RASSF1A, hypermethylated in lung and gastric cancers","Tommasi et al., Oncogene, 2005"
Cancer risk & epimutations detectable in blood,NORE1A,"Related to RASSF1A, hypermethylated in lung and gastric cancers","Related to RASSF1A, hypermethylated in lung and gastric cancers","Tommasi et al., Oncogene, 2005"
Cancer risk & epimutations detectable in blood,MGMT,Already in your list – gold standard for predicting temozolomide response,,"Hegi et al., NEJM, 2005"
Cancer risk & epimutations detectable in blood,GATA6,Hypermethylated in gliomas; tumor suppressor,Hypermethylated in gliomas; tumor suppressor,"Aydin et al., J Neurooncol, 2018"
Cancer risk & epimutations detectable in blood,PTEN,"Promoter hypermethylation in glioma, endometrial cancer","Promoter hypermethylation in glioma, endometrial cancer","Garcia et al., Oncogene, 2004"
Cancer risk & epimutations detectable in blood,NDRG4,"Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Imperiale et al., NEJM, 2014"
Cancer risk & epimutations detectable in blood,BMP3,"Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Imperiale et al., NEJM, 2014"
Cancer risk & epimutations detectable in blood,VIM,"Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Imperiale et al., NEJM, 2014"
Cancer risk & epimutations detectable in blood,SDC2,"Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Commercial stool/blood CRC methylation assays (Cologuard, Epi proColon)","Imperiale et al., NEJM, 2014"
Cancer risk & epimutations detectable in blood,TFPI2,Early CRC detection marker (hypermethylation in stool/blood),Early CRC detection marker (hypermethylation in stool/blood),"Nagasaka et al., Clin Cancer Res, 2003"
Cancer risk & epimutations detectable in blood,TMEFF2,"Methylated in CRC plasma, prostate","Methylated in CRC plasma, prostate","Lofton-Day et al., Cancer Res, 2008"
Cancer risk & epimutations detectable in blood,ALX4,CpG hypermethylation in early CRC; stool DNA test candidate,CpG hypermethylation in early CRC; stool DNA test candidate,"Melotte et al., Gastroenterology, 2009"
Cancer risk & epimutations detectable in blood,CDH13,Promoter hypermethylation in NSCLC,Promoter hypermethylation in NSCLC,"Toyooka et al., Cancer Res, 2001"
Cancer risk & epimutations detectable in blood,FHIT,Fragile histidine triad gene; early NSCLC methylation,Fragile histidine triad gene; early NSCLC methylation,"Sozzi et al., PNAS, 1998"
Cancer risk & epimutations detectable in blood,MGMT,Inactivation by methylation in squamous NSCLC,Inactivation by methylation in squamous NSCLC,"Belinsky et al., PNAS, 1998"
Cancer risk & epimutations detectable in blood,ZNF582,cfDNA marker in cervical and lung cancers,cfDNA marker in cervical and lung cancers,"Cheung et al., Clin Epigenetics, 2019"
Cancer risk & epimutations detectable in blood,PAX5,"Hypermethylation in cervical, esophageal cancer","Hypermethylation in cervical, esophageal cancer","Lai et al., Clin Epigenetics, 2014"
Cancer risk & epimutations detectable in blood,PAX1,"Hypermethylation in cervical, esophageal cancer","Hypermethylation in cervical, esophageal cancer","Lai et al., Clin Epigenetics, 2014"
Cancer risk & epimutations detectable in blood,SOX17,Wnt pathway gene; hypermethylated in multiple cancers,Wnt pathway gene; hypermethylated in multiple cancers,"Zhang et al., Clin Cancer Res, 2008"
